"Time (s) Run #1","Absolute Pressure (kPa) Run #1","Temperature (°C) Run #1","Abs (K) Run #1"
264.650,98.613,45.75,318.90
264.700,98.602,45.75,318.90
264.750,98.602,45.75,318.90
264.800,98.591,45.75,318.90
264.850,98.619,45.75,318.90
264.900,98.628,45.74,318.89
264.950,98.615,45.74,318.89
265.000,98.595,45.73,318.88
265.050,98.591,45.73,318.88
265.100,98.589,45.73,318.88
265.150,98.608,45.73,318.88
265.200,98.621,45.72,318.87
265.250,98.569,45.72,318.87
265.300,98.600,45.72,318.87
265.350,98.613,45.71,318.86
265.400,98.582,45.71,318.86
265.450,98.569,45.71,318.86
265.500,98.595,45.70,318.85
265.550,98.623,45.70,318.85
265.600,98.593,45.70,318.85
265.650,98.569,45.69,318.84
265.700,98.606,45.69,318.84
265.750,98.593,45.69,318.84
265.800,98.587,45.68,318.83
265.850,98.604,45.68,318.83
265.900,98.569,45.68,318.83
265.950,98.582,45.67,318.82
266.000,98.591,45.67,318.82
266.050,98.593,45.66,318.81
266.100,98.567,45.66,318.81
266.150,98.602,45.66,318.81
266.200,98.591,45.65,318.80
266.250,98.578,45.65,318.80
266.300,98.621,45.65,318.80
266.350,98.576,45.65,318.80
266.400,98.545,45.64,318.79
266.450,98.623,45.64,318.79
266.500,98.571,45.64,318.79
266.550,98.565,45.64,318.79
266.600,98.580,45.64,318.79
266.650,98.547,45.64,318.79
266.700,98.578,45.64,318.79
266.750,98.573,45.64,318.79
266.800,98.578,45.63,318.78
266.850,98.552,45.64,318.79
266.900,98.541,45.64,318.79
266.950,98.573,45.64,318.79
267.000,98.591,45.64,318.79
267.050,98.554,45.64,318.79
267.100,98.580,45.64,318.79
267.150,98.582,45.64,318.79
267.200,98.580,45.64,318.79
267.250,98.554,45.64,318.79
267.300,98.578,45.64,318.79
267.350,98.556,45.64,318.79
267.400,98.541,45.64,318.79
267.450,98.534,45.64,318.79
267.500,98.554,45.64,318.79
267.550,98.560,45.64,318.79
267.600,98.541,45.64,318.79
267.650,98.571,45.64,318.79
267.700,98.539,45.64,318.79
267.750,98.543,45.64,318.79
267.800,98.554,45.64,318.79
267.850,98.547,45.64,318.79
267.900,98.556,45.64,318.79
267.950,98.539,45.64,318.79
268.000,98.552,45.64,318.79
268.050,98.569,45.64,318.79
268.100,98.560,45.64,318.79
268.150,98.541,45.64,318.79
268.200,98.545,45.64,318.79
268.250,98.556,45.64,318.79
268.300,98.537,45.64,318.79
268.350,98.554,45.64,318.79
268.400,98.524,45.64,318.79
268.450,98.589,45.64,318.79
268.500,98.565,45.64,318.79
268.550,98.517,45.64,318.79
268.600,98.537,45.64,318.79
268.650,98.545,45.65,318.80
268.700,98.534,45.65,318.80
268.750,98.541,45.65,318.80
268.800,98.528,45.65,318.80
268.850,98.524,45.65,318.80
268.900,98.513,45.65,318.80
268.950,98.554,45.65,318.80
269.000,98.521,45.65,318.80
269.050,98.517,45.65,318.80
269.100,98.534,45.65,318.80
269.150,98.543,45.65,318.80
269.200,98.545,45.65,318.80
269.250,98.528,45.65,318.80
269.300,98.530,45.66,318.81
269.350,98.543,45.65,318.80
269.400,98.511,45.65,318.80
269.450,98.541,45.65,318.80
269.500,98.511,45.66,318.81
269.550,98.521,45.66,318.81
269.600,98.528,45.65,318.80
269.650,98.530,45.66,318.81
269.700,98.517,45.66,318.81
269.750,98.534,45.66,318.81
269.800,98.508,45.66,318.81
269.850,98.508,45.66,318.81
269.900,98.515,45.66,318.81
269.950,98.513,45.66,318.81
270.000,98.502,45.66,318.81
270.050,98.519,45.66,318.81
270.100,98.550,45.66,318.81
270.150,98.537,45.66,318.81
270.200,98.515,45.66,318.81
270.250,98.519,45.66,318.81
270.300,98.524,45.66,318.81
270.350,98.530,45.65,318.80
270.400,98.519,45.65,318.80
270.450,98.519,45.65,318.80
270.500,98.493,45.65,318.80
270.550,98.515,45.64,318.79
270.600,98.506,45.64,318.79
270.650,98.513,45.64,318.79
270.700,98.541,45.64,318.79
270.750,98.528,45.64,318.79
270.800,98.508,45.64,318.79
270.850,98.524,45.64,318.79
270.900,98.500,45.64,318.79
270.950,98.485,45.64,318.79
271.000,98.504,45.64,318.79
271.050,98.504,45.64,318.79
271.100,98.517,45.64,318.79
271.150,98.517,45.64,318.79
271.200,98.502,45.64,318.79
271.250,98.526,45.63,318.78
271.300,98.534,45.63,318.78
271.350,98.498,45.63,318.78
271.400,98.480,45.63,318.78
271.450,98.508,45.63,318.78
271.500,98.506,45.63,318.78
271.550,98.521,45.62,318.77
271.600,98.504,45.62,318.77
271.650,98.524,45.62,318.77
271.700,98.506,45.62,318.77
271.750,98.482,45.62,318.77
271.800,98.495,45.62,318.77
271.850,98.482,45.62,318.77
271.900,98.498,45.62,318.77
271.950,98.539,45.62,318.77
272.000,98.482,45.61,318.76
272.050,98.493,45.61,318.76
272.100,98.511,45.61,318.76
272.150,98.487,45.61,318.76
272.200,98.515,45.61,318.76
272.250,98.491,45.61,318.76
272.300,98.476,45.60,318.75
272.350,98.508,45.60,318.75
272.400,98.489,45.60,318.75
272.450,98.519,45.60,318.75
272.500,98.530,45.59,318.74
272.550,98.508,45.59,318.74
272.600,98.487,45.59,318.74
272.650,98.489,45.58,318.73
272.700,98.485,45.58,318.73
272.750,98.478,45.58,318.73
272.800,98.493,45.58,318.73
272.850,98.480,45.57,318.72
272.900,98.495,45.57,318.72
272.950,98.461,45.57,318.72
273.000,98.482,45.56,318.71
273.050,98.478,45.56,318.71
273.100,98.465,45.56,318.71
273.150,98.491,45.55,318.70
273.200,98.476,45.55,318.70
273.250,98.491,45.55,318.70
273.300,98.445,45.55,318.70
273.350,98.480,45.54,318.69
273.400,98.469,45.54,318.69
273.450,98.474,45.54,318.69
273.500,98.467,45.54,318.69
273.550,98.441,45.53,318.68
273.600,98.448,45.53,318.68
273.650,98.448,45.53,318.68
273.700,98.504,45.53,318.68
273.750,98.465,45.53,318.68
273.800,98.480,45.52,318.67
273.850,98.469,45.52,318.67
273.900,98.461,45.52,318.67
273.950,98.485,45.52,318.67
274.000,98.495,45.52,318.67
274.050,98.461,45.51,318.66
274.100,98.467,45.51,318.66
274.150,98.461,45.51,318.66
274.200,98.463,45.51,318.66
274.250,98.452,45.51,318.66
274.300,98.469,45.51,318.66
274.350,98.469,45.51,318.66
274.400,98.437,45.51,318.66
274.450,98.450,45.50,318.65
274.500,98.487,45.50,318.65
274.550,98.445,45.50,318.65
274.600,98.450,45.50,318.65
274.650,98.472,45.50,318.65
274.700,98.469,45.50,318.65
274.750,98.478,45.50,318.65
274.800,98.426,45.49,318.64
274.850,98.448,45.49,318.64
274.900,98.459,45.49,318.64
274.950,98.450,45.49,318.64
275.000,98.445,45.49,318.64
275.050,98.441,45.48,318.63
275.100,98.469,45.48,318.63
275.150,98.472,45.48,318.63
275.200,98.469,45.48,318.63
275.250,98.456,45.48,318.63
275.300,98.426,45.47,318.62
275.350,98.435,45.47,318.62
275.400,98.459,45.47,318.62
275.450,98.472,45.47,318.62
275.500,98.467,45.47,318.62
275.550,98.441,45.46,318.61
275.600,98.448,45.46,318.61
275.650,98.476,45.46,318.61
275.700,98.463,45.45,318.60
275.750,98.472,45.45,318.60
275.800,98.454,45.45,318.60
275.850,98.448,45.44,318.59
275.900,98.439,45.44,318.59
275.950,98.435,45.44,318.59
276.000,98.452,45.44,318.59
276.050,98.413,45.43,318.58
276.100,98.435,45.43,318.58
276.150,98.439,45.43,318.58
276.200,98.428,45.43,318.58
276.250,98.435,45.42,318.57
276.300,98.452,45.42,318.57
276.350,98.415,45.42,318.57
276.400,98.456,45.42,318.57
276.450,98.426,45.42,318.57
276.500,98.432,45.42,318.57
276.550,98.443,45.42,318.57
276.600,98.393,45.42,318.57
276.650,98.432,45.42,318.57
276.700,98.385,45.42,318.57
276.750,98.389,45.42,318.57
276.800,98.389,45.42,318.57
276.850,98.406,45.42,318.57
276.900,98.361,45.42,318.57
276.950,98.378,45.42,318.57
277.000,98.354,45.43,318.58
277.050,98.376,45.43,318.58
277.100,98.372,45.43,318.58
277.150,98.354,45.43,318.58
277.200,98.354,45.43,318.58
277.250,98.337,45.43,318.58
277.300,98.341,45.43,318.58
277.350,98.335,45.43,318.58
277.400,98.363,45.43,318.58
277.450,98.333,45.44,318.59
277.500,98.354,45.43,318.58
277.550,98.344,45.44,318.59
277.600,98.359,45.44,318.59
277.650,98.333,45.44,318.59
277.700,98.315,45.44,318.59
277.750,98.289,45.44,318.59
277.800,98.317,45.44,318.59
277.850,98.333,45.44,318.59
277.900,98.304,45.44,318.59
277.950,98.324,45.44,318.59
278.000,98.296,45.45,318.60
278.050,98.291,45.45,318.60
278.100,98.274,45.44,318.59
278.150,98.311,45.44,318.59
278.200,98.272,45.44,318.59
278.250,98.252,45.45,318.60
278.300,98.289,45.45,318.60
278.350,98.276,45.45,318.60
278.400,98.270,45.45,318.60
278.450,98.281,45.45,318.60
278.500,98.248,45.45,318.60
278.550,98.285,45.44,318.59
278.600,98.239,45.44,318.59
278.650,98.237,45.44,318.59
278.700,98.246,45.44,318.59
278.750,98.246,45.44,318.59
278.800,98.265,45.43,318.58
278.850,98.239,45.43,318.58
278.900,98.231,45.43,318.58
278.950,98.218,45.43,318.58
279.000,98.220,45.43,318.58
279.050,98.231,45.43,318.58
279.100,98.218,45.42,318.57
279.150,98.244,45.42,318.57
279.200,98.211,45.42,318.57
279.250,98.229,45.41,318.56
279.300,98.213,45.41,318.56
279.350,98.237,45.41,318.56
279.400,98.181,45.41,318.56
279.450,98.207,45.40,318.55
279.500,98.168,45.40,318.55
279.550,98.196,45.40,318.55
279.600,98.200,45.40,318.55
279.650,98.207,45.40,318.55
279.700,98.211,45.40,318.55
279.750,98.170,45.39,318.54
279.800,98.157,45.39,318.54
279.850,98.216,45.39,318.54
279.900,98.181,45.39,318.54
279.950,98.137,45.39,318.54
280.000,98.144,45.38,318.53
280.050,98.183,45.38,318.53
280.100,98.157,45.38,318.53
280.150,98.135,45.38,318.53
280.200,98.181,45.38,318.53
280.250,98.146,45.37,318.52
280.300,98.170,45.37,318.52
280.350,98.163,45.37,318.52
280.400,98.150,45.37,318.52
280.450,98.144,45.37,318.52
280.500,98.155,45.36,318.51
280.550,98.157,45.36,318.51
280.600,98.159,45.36,318.51
280.650,98.166,45.36,318.51
280.700,98.148,45.36,318.51
280.750,98.129,45.35,318.50
280.800,98.133,45.35,318.50
280.850,98.159,45.34,318.49
280.900,98.157,45.34,318.49
280.950,98.144,45.34,318.49
281.000,98.133,45.33,318.48
281.050,98.131,45.33,318.48
281.100,98.133,45.33,318.48
281.150,98.124,45.33,318.48
281.200,98.118,45.32,318.47
281.250,98.122,45.32,318.47
281.300,98.109,45.31,318.46
281.350,98.101,45.31,318.46
281.400,98.124,45.30,318.45
281.450,98.116,45.30,318.45
281.500,98.111,45.30,318.45
281.550,98.109,45.29,318.44
281.600,98.103,45.29,318.44
281.650,98.111,45.28,318.43
281.700,98.105,45.28,318.43
281.750,98.131,45.27,318.42
281.800,98.072,45.27,318.42
281.850,98.114,45.26,318.41
281.900,98.150,45.26,318.41
281.950,98.114,45.25,318.40
282.000,98.087,45.25,318.40
282.050,98.087,45.24,318.39
282.100,98.105,45.24,318.39
282.150,98.087,45.23,318.38
282.200,98.081,45.22,318.37
282.250,98.092,45.21,318.36
282.300,98.116,45.21,318.36
282.350,98.061,45.21,318.36
282.400,98.083,45.20,318.35
282.450,98.051,45.20,318.35
282.500,98.074,45.19,318.34
282.550,98.059,45.19,318.34
282.600,98.038,45.18,318.33
282.650,98.072,45.18,318.33
282.700,98.079,45.17,318.32
282.750,98.059,45.16,318.31
282.800,98.083,45.16,318.31
282.850,98.064,45.15,318.30
282.900,98.053,45.15,318.30
282.950,98.040,45.14,318.29
283.000,98.027,45.14,318.29
283.050,98.020,45.13,318.28
283.100,98.079,45.13,318.28
283.150,98.042,45.12,318.27
283.200,98.031,45.12,318.27
283.250,98.035,45.11,318.26
283.300,98.044,45.11,318.26
283.350,98.038,45.10,318.25
283.400,98.064,45.10,318.25
283.450,98.048,45.09,318.24
283.500,98.031,45.09,318.24
283.550,98.053,45.08,318.23
283.600,97.990,45.08,318.23
283.650,98.012,45.08,318.23
283.700,98.031,45.07,318.22
283.750,98.029,45.06,318.21
283.800,98.001,45.06,318.21
283.850,98.020,45.06,318.21
283.900,98.035,45.05,318.20
283.950,98.046,45.04,318.19
284.000,97.986,45.04,318.19
284.050,97.990,45.04,318.19
284.100,98.003,45.03,318.18
284.150,98.020,45.03,318.18
284.200,98.005,45.02,318.17
284.250,97.999,45.02,318.17
284.300,97.990,45.01,318.16
284.350,98.025,45.01,318.16
284.400,98.025,45.00,318.15
284.450,97.966,44.99,318.14
284.500,97.990,44.99,318.14
284.550,97.986,44.98,318.13
284.600,97.999,44.98,318.13
284.650,97.986,44.97,318.12
284.700,97.999,44.97,318.12
284.750,97.962,44.96,318.11
284.800,97.988,44.96,318.11
284.850,97.992,44.95,318.10
284.900,97.964,44.95,318.10
284.950,97.977,44.94,318.09
285.000,97.988,44.93,318.08
285.050,97.983,44.93,318.08
285.100,97.983,44.92,318.07
285.150,97.981,44.91,318.06
285.200,97.977,44.91,318.06
285.250,97.966,44.90,318.05
285.300,97.944,44.89,318.04
285.350,97.955,44.88,318.03
285.400,97.977,44.88,318.03
285.450,97.996,44.87,318.02
285.500,97.927,44.86,318.01
285.550,97.955,44.86,318.01
285.600,97.966,44.85,318.00
285.650,97.970,44.84,317.99
285.700,97.981,44.83,317.98
285.750,97.929,44.83,317.98
285.800,97.968,44.82,317.97
285.850,97.942,44.82,317.97
285.900,97.955,44.81,317.96
285.950,97.951,44.80,317.95
286.000,97.951,44.80,317.95
286.050,97.938,44.79,317.94
286.100,97.946,44.79,317.94
286.150,97.973,44.78,317.93
286.200,97.973,44.78,317.93
286.250,97.925,44.77,317.92
286.300,97.953,44.76,317.91
286.350,97.912,44.76,317.91
286.400,97.955,44.75,317.90
286.450,97.959,44.74,317.89
286.500,97.936,44.74,317.89
286.550,97.923,44.73,317.88
286.600,97.905,44.73,317.88
286.650,97.918,44.72,317.87
286.700,97.946,44.71,317.86
286.750,97.933,44.71,317.86
286.800,97.914,44.70,317.85
286.850,97.918,44.69,317.84
286.900,97.940,44.69,317.84
286.950,97.929,44.68,317.83
287.000,97.910,44.67,317.82
287.050,97.923,44.66,317.81
287.100,97.890,44.66,317.81
287.150,97.931,44.65,317.80
287.200,97.905,44.65,317.80
287.250,97.940,44.64,317.79
287.300,97.949,44.64,317.79
287.350,97.955,44.63,317.78
287.400,97.953,44.62,317.77
287.450,97.914,44.62,317.77
287.500,97.946,44.61,317.76
287.550,97.925,44.60,317.75
287.600,97.923,44.60,317.75
287.650,97.914,44.59,317.74
287.700,97.901,44.58,317.73
287.750,97.907,44.58,317.73
287.800,97.923,44.58,317.73
287.850,97.903,44.57,317.72
287.900,97.907,44.57,317.72
287.950,97.907,44.56,317.71
288.000,97.910,44.55,317.70
288.050,97.903,44.55,317.70
288.100,97.925,44.54,317.69
288.150,97.916,44.54,317.69
288.200,97.864,44.54,317.69
288.250,97.877,44.53,317.68
288.300,97.881,44.53,317.68
288.350,97.881,44.52,317.67
288.400,97.847,44.52,317.67
288.450,97.845,44.51,317.66
288.500,97.868,44.51,317.66
288.550,97.858,44.51,317.66
288.600,97.910,44.50,317.65
288.650,97.881,44.50,317.65
288.700,97.888,44.49,317.64
288.750,97.892,44.49,317.64
288.800,97.871,44.49,317.64
288.850,97.840,44.48,317.63
288.900,97.864,44.48,317.63
288.950,97.875,44.47,317.62
289.000,97.873,44.47,317.62
289.050,97.866,44.46,317.61
289.100,97.868,44.45,317.60
289.150,97.853,44.45,317.60
289.200,97.862,44.44,317.59
289.250,97.855,44.44,317.59
289.300,97.862,44.43,317.58
289.350,97.823,44.43,317.58
289.400,97.851,44.42,317.57
289.450,97.845,44.41,317.56
289.500,97.842,44.41,317.56
289.550,97.838,44.40,317.55
289.600,97.849,44.40,317.55
289.650,97.831,44.39,317.54
289.700,97.823,44.39,317.54
289.750,97.827,44.38,317.53
289.800,97.829,44.38,317.53
289.850,97.812,44.37,317.52
289.900,97.838,44.37,317.52
289.950,97.855,44.36,317.51
290.000,97.801,44.36,317.51
290.050,97.836,44.35,317.50
290.100,97.829,44.35,317.50
290.150,97.823,44.34,317.49
290.200,97.814,44.33,317.48
290.250,97.812,44.33,317.48
290.300,97.812,44.32,317.47
290.350,97.788,44.32,317.47
290.400,97.805,44.31,317.46
290.450,97.797,44.31,317.46
290.500,97.808,44.30,317.45
290.550,97.825,44.30,317.45
290.600,97.803,44.29,317.44
290.650,97.782,44.29,317.44
290.700,97.797,44.29,317.44
290.750,97.797,44.28,317.43
290.800,97.777,44.27,317.42
290.850,97.792,44.27,317.42
290.900,97.810,44.26,317.41
290.950,97.797,44.26,317.41
291.000,97.773,44.25,317.40
291.050,97.771,44.25,317.40
291.100,97.786,44.24,317.39
291.150,97.751,44.24,317.39
291.200,97.786,44.23,317.38
291.250,97.753,44.22,317.37
291.300,97.773,44.21,317.36
291.350,97.786,44.21,317.36
291.400,97.756,44.20,317.35
291.450,97.743,44.19,317.34
291.500,97.756,44.19,317.34
291.550,97.727,44.18,317.33
291.600,97.760,44.17,317.32
291.650,97.723,44.16,317.31
291.700,97.723,44.16,317.31
291.750,97.740,44.15,317.30
291.800,97.732,44.14,317.29
291.850,97.710,44.14,317.29
291.900,97.719,44.13,317.28
291.950,97.723,44.13,317.28
292.000,97.730,44.12,317.27
292.050,97.723,44.12,317.27
292.100,97.712,44.11,317.26
292.150,97.712,44.11,317.26
292.200,97.727,44.10,317.25
292.250,97.727,44.10,317.25
292.300,97.708,44.09,317.24
292.350,97.686,44.09,317.24
292.400,97.703,44.08,317.23
292.450,97.695,44.08,317.23
292.500,97.690,44.07,317.22
292.550,97.714,44.07,317.22
292.600,97.695,44.06,317.21
292.650,97.695,44.05,317.20
292.700,97.688,44.05,317.20
292.750,97.667,44.04,317.19
292.800,97.662,44.04,317.19
292.850,97.669,44.03,317.18
292.900,97.673,44.03,317.18
292.950,97.664,44.02,317.17
293.000,97.660,44.02,317.17
293.050,97.677,44.02,317.17
293.100,97.658,44.01,317.16
293.150,97.671,44.01,317.16
293.200,97.651,44.00,317.15
293.250,97.656,44.00,317.15
293.300,97.656,44.00,317.15
293.350,97.634,43.99,317.14
293.400,97.680,43.99,317.14
293.450,97.686,43.98,317.13
293.500,97.636,43.98,317.13
293.550,97.623,43.98,317.13
293.600,97.593,43.97,317.12
293.650,97.628,43.97,317.12
293.700,97.617,43.97,317.12
293.750,97.632,43.96,317.11
293.800,97.593,43.96,317.11
293.850,97.604,43.95,317.10
293.900,97.649,43.95,317.10
293.950,97.632,43.95,317.10
294.000,97.599,43.95,317.10
294.050,97.588,43.94,317.09
294.100,97.582,43.94,317.09
294.150,97.610,43.93,317.08
294.200,97.615,43.93,317.08
294.250,97.571,43.92,317.07
294.300,97.591,43.92,317.07
294.350,97.593,43.92,317.07
294.400,97.586,43.91,317.06
294.450,97.571,43.91,317.06
294.500,97.588,43.90,317.05
294.550,97.565,43.90,317.05
294.600,97.571,43.89,317.04
294.650,97.554,43.89,317.04
294.700,97.575,43.88,317.03
294.750,97.562,43.88,317.03
294.800,97.560,43.88,317.03
294.850,97.554,43.87,317.02
294.900,97.549,43.87,317.02
294.950,97.543,43.86,317.01
295.000,97.530,43.86,317.01
295.050,97.519,43.85,317.00
295.100,97.536,43.85,317.00
295.150,97.528,43.84,316.99
295.200,97.519,43.84,316.99
295.250,97.523,43.83,316.98
295.300,97.521,43.83,316.98
295.350,97.517,43.82,316.97
295.400,97.493,43.82,316.97
295.450,97.506,43.81,316.96
295.500,97.506,43.80,316.95
295.550,97.497,43.80,316.95
295.600,97.517,43.79,316.94
295.650,97.484,43.79,316.94
295.700,97.510,43.78,316.93
295.750,97.463,43.78,316.93
295.800,97.500,43.77,316.92
295.850,97.482,43.77,316.92
295.900,97.489,43.77,316.92
295.950,97.480,43.77,316.92
296.000,97.482,43.76,316.91
296.050,97.487,43.76,316.91
296.100,97.471,43.75,316.90
296.150,97.489,43.75,316.90
296.200,97.484,43.75,316.90
296.250,97.454,43.74,316.89
296.300,97.437,43.74,316.89
296.350,97.460,43.73,316.88
296.400,97.482,43.73,316.88
296.450,97.476,43.72,316.87
296.500,97.476,43.72,316.87
296.550,97.478,43.71,316.86
296.600,97.430,43.71,316.86
296.650,97.413,43.70,316.85
296.700,97.456,43.70,316.85
296.750,97.454,43.70,316.85
296.800,97.437,43.69,316.84
296.850,97.452,43.68,316.83
296.900,97.439,43.68,316.83
296.950,97.415,43.67,316.82
297.000,97.445,43.67,316.82
297.050,97.467,43.66,316.81
297.100,97.406,43.65,316.80
297.150,97.437,43.64,316.79
297.200,97.393,43.64,316.79
297.250,97.430,43.63,316.78
297.300,97.413,43.63,316.78
297.350,97.424,43.62,316.77
297.400,97.408,43.62,316.77
297.450,97.417,43.61,316.76
297.500,97.413,43.61,316.76
297.550,97.421,43.60,316.75
297.600,97.385,43.59,316.74
297.650,97.413,43.59,316.74
297.700,97.417,43.59,316.74
297.750,97.378,43.58,316.73
297.800,97.406,43.57,316.72
297.850,97.378,43.57,316.72
297.900,97.421,43.57,316.72
297.950,97.395,43.56,316.71
298.000,97.393,43.56,316.71
298.050,97.402,43.56,316.71
298.100,97.411,43.55,316.70
298.150,97.378,43.55,316.70
298.200,97.387,43.55,316.70
298.250,97.361,43.54,316.69
298.300,97.387,43.54,316.69
298.350,97.385,43.54,316.69
298.400,97.335,43.53,316.68
298.450,97.376,43.53,316.68
298.500,97.343,43.53,316.68
298.550,97.324,43.52,316.67
298.600,97.343,43.52,316.67
298.650,97.374,43.51,316.66
298.700,97.348,43.51,316.66
298.750,97.378,43.50,316.65
298.800,97.356,43.50,316.65
298.850,97.350,43.50,316.65
298.900,97.350,43.49,316.64
298.950,97.311,43.49,316.64
299.000,97.335,43.49,316.64
299.050,97.363,43.49,316.64
299.100,97.354,43.48,316.63
299.150,97.350,43.48,316.63
299.200,97.341,43.47,316.62
299.250,97.345,43.47,316.62
299.300,97.313,43.46,316.61
299.350,97.324,43.46,316.61
299.400,97.317,43.46,316.61
299.450,97.324,43.45,316.60
299.500,97.330,43.45,316.60
299.550,97.345,43.44,316.59
299.600,97.306,43.44,316.59
299.650,97.343,43.43,316.58
299.700,97.324,43.43,316.58
299.750,97.315,43.42,316.57
299.800,97.317,43.42,316.57
299.850,97.322,43.41,316.56
299.900,97.293,43.41,316.56
299.950,97.324,43.41,316.56
300.000,97.315,43.40,316.55
300.050,97.354,43.40,316.55
300.100,97.311,43.40,316.55
300.150,97.322,43.39,316.54
300.200,97.285,43.39,316.54
300.250,97.311,43.39,316.54
300.300,97.324,43.38,316.53
300.350,97.296,43.38,316.53
300.400,97.332,43.38,316.53
300.450,97.330,43.37,316.52
300.500,97.298,43.37,316.52
300.550,97.317,43.36,316.51
300.600,97.300,43.36,316.51
300.650,97.309,43.36,316.51
300.700,97.280,43.35,316.50
300.750,97.322,43.35,316.50
300.800,97.328,43.34,316.49
300.850,97.300,43.34,316.49
300.900,97.315,43.33,316.48
300.950,97.293,43.33,316.48
301.000,97.276,43.32,316.47
301.050,97.276,43.32,316.47
301.100,97.300,43.31,316.46
301.150,97.283,43.31,316.46
301.200,97.324,43.30,316.45
301.250,97.302,43.30,316.45
301.300,97.296,43.30,316.45
301.350,97.291,43.29,316.44
301.400,97.300,43.29,316.44
301.450,97.280,43.29,316.44
301.500,97.293,43.28,316.43
301.550,97.287,43.28,316.43
301.600,97.276,43.28,316.43
301.650,97.309,43.27,316.42
301.700,97.296,43.27,316.42
301.750,97.267,43.27,316.42
301.800,97.285,43.26,316.41
301.850,97.278,43.26,316.41
301.900,97.302,43.26,316.41
301.950,97.322,43.26,316.41
302.000,97.267,43.25,316.40
302.050,97.270,43.25,316.40
302.100,97.287,43.25,316.40
302.150,97.280,43.24,316.39
302.200,97.287,43.24,316.39
302.250,97.270,43.24,316.39
302.300,97.293,43.23,316.38
302.350,97.302,43.23,316.38
302.400,97.259,43.23,316.38
302.450,97.261,43.22,316.37
302.500,97.228,43.21,316.36
302.550,97.261,43.21,316.36
302.600,97.244,43.21,316.36
302.650,97.285,43.20,316.35
302.700,97.276,43.19,316.34
302.750,97.280,43.19,316.34
302.800,97.274,43.18,316.33
302.850,97.270,43.18,316.33
302.900,97.263,43.17,316.32
302.950,97.280,43.16,316.31
303.000,97.246,43.16,316.31
303.050,97.246,43.16,316.31
303.100,97.274,43.15,316.30
303.150,97.233,43.15,316.30
303.200,97.265,43.14,316.29
303.250,97.280,43.14,316.29
303.300,97.278,43.14,316.29
303.350,97.265,43.14,316.29
303.400,97.250,43.13,316.28
303.450,97.263,43.13,316.28
303.500,97.235,43.12,316.27
303.550,97.244,43.12,316.27
303.600,97.289,43.12,316.27
303.650,97.231,43.11,316.26
303.700,97.254,43.11,316.26
303.750,97.274,43.11,316.26
303.800,97.272,43.10,316.25
303.850,97.217,43.10,316.25
303.900,97.241,43.09,316.24
303.950,97.263,43.09,316.24
304.000,97.248,43.09,316.24
304.050,97.252,43.08,316.23
304.100,97.239,43.08,316.23
304.150,97.250,43.08,316.23
304.200,97.241,43.08,316.23
304.250,97.248,43.08,316.23
304.300,97.252,43.07,316.22
304.350,97.235,43.07,316.22
304.400,97.237,43.07,316.22
304.450,97.241,43.07,316.22
304.500,97.259,43.06,316.21
304.550,97.257,43.06,316.21
304.600,97.259,43.06,316.21
304.650,97.222,43.06,316.21
304.700,97.244,43.05,316.20
304.750,97.231,43.05,316.20
304.800,97.231,43.04,316.19
304.850,97.265,43.04,316.19
304.900,97.241,43.04,316.19
304.950,97.267,43.03,316.18
305.000,97.276,43.03,316.18
305.050,97.222,43.03,316.18
305.100,97.250,43.02,316.17
305.150,97.233,43.02,316.17
305.200,97.224,43.02,316.17
305.250,97.235,43.01,316.16
305.300,97.202,43.01,316.16
305.350,97.241,43.00,316.15
305.400,97.215,43.00,316.15
305.450,97.259,43.00,316.15
305.500,97.226,42.99,316.14
305.550,97.183,42.99,316.14
305.600,97.239,42.98,316.13
305.650,97.233,42.98,316.13
305.700,97.239,42.97,316.12
305.750,97.200,42.97,316.12
305.800,97.213,42.97,316.12
305.850,97.231,42.96,316.11
305.900,97.200,42.96,316.11
305.950,97.222,42.96,316.11
306.000,97.217,42.95,316.10
306.050,97.213,42.95,316.10
306.100,97.231,42.95,316.10
306.150,97.196,42.94,316.09
306.200,97.220,42.94,316.09
306.250,97.220,42.94,316.09
306.300,97.198,42.94,316.09
306.350,97.207,42.93,316.08
306.400,97.204,42.93,316.08
306.450,97.222,42.93,316.08
306.500,97.202,42.93,316.08
306.550,97.224,42.93,316.08
306.600,97.207,42.92,316.07
306.650,97.220,42.92,316.07
306.700,97.226,42.92,316.07
306.750,97.194,42.92,316.07
306.800,97.207,42.91,316.06
306.850,97.222,42.91,316.06
306.900,97.174,42.92,316.07
306.950,97.187,42.91,316.06
307.000,97.196,42.91,316.06
307.050,97.200,42.91,316.06
307.100,97.213,42.91,316.06
307.150,97.191,42.91,316.06
307.200,97.198,42.91,316.06
307.250,97.215,42.91,316.06
307.300,97.220,42.90,316.05
307.350,97.215,42.90,316.05
307.400,97.181,42.90,316.05
307.450,97.187,42.90,316.05
307.500,97.194,42.90,316.05
307.550,97.220,42.90,316.05
307.600,97.189,42.90,316.05
307.650,97.246,42.90,316.05
307.700,97.196,42.89,316.04
307.750,97.194,42.89,316.04
307.800,97.215,42.89,316.04
307.850,97.198,42.89,316.04
307.900,97.183,42.89,316.04
307.950,97.202,42.89,316.04
308.000,97.196,42.89,316.04
308.050,97.161,42.88,316.03
308.100,97.204,42.88,316.03
308.150,97.211,42.88,316.03
