"Time (s) Run #1","Absolute Pressure (kPa) Run #1","Temperature (°C) Run #1","Abs (K) Run #1"
9.800,103.407,43.65,316.80
9.850,103.414,43.69,316.84
9.900,103.425,43.72,316.87
9.950,103.403,43.76,316.91
10.000,103.416,43.80,316.95
10.050,103.425,43.82,316.97
10.100,103.425,43.86,317.01
10.150,103.442,43.89,317.04
10.200,103.457,43.93,317.08
10.250,103.449,43.97,317.12
10.300,103.459,44.00,317.15
10.350,103.496,44.04,317.19
10.400,103.459,44.08,317.23
10.450,103.499,44.11,317.26
10.500,103.455,44.14,317.29
10.550,103.472,44.18,317.33
10.600,103.446,44.21,317.36
10.650,103.481,44.25,317.40
10.700,103.457,44.28,317.43
10.750,103.468,44.32,317.47
10.800,103.481,44.35,317.50
10.850,103.505,44.38,317.53
10.900,103.483,44.41,317.56
10.950,103.479,44.44,317.59
11.000,103.499,44.46,317.61
11.050,103.490,44.49,317.64
11.100,103.520,44.51,317.66
11.150,103.505,44.53,317.68
11.200,103.466,44.55,317.70
11.250,103.507,44.57,317.72
11.300,103.525,44.59,317.74
11.350,103.505,44.61,317.76
11.400,103.490,44.63,317.78
11.450,103.518,44.65,317.80
11.500,103.561,44.67,317.82
11.550,103.542,44.69,317.84
11.600,103.527,44.71,317.86
11.650,103.542,44.73,317.88
11.700,103.540,44.75,317.90
11.750,103.535,44.77,317.92
11.800,103.527,44.80,317.95
11.850,103.544,44.82,317.97
11.900,103.553,44.84,317.99
11.950,103.540,44.86,318.01
12.000,103.579,44.88,318.03
12.050,103.559,44.91,318.06
12.100,103.557,44.93,318.08
12.150,103.570,44.96,318.11
12.200,103.577,44.99,318.14
12.250,103.555,45.02,318.17
12.300,103.564,45.04,318.19
12.350,103.572,45.06,318.21
12.400,103.577,45.08,318.23
12.450,103.570,45.11,318.26
12.500,103.603,45.13,318.28
12.550,103.603,45.16,318.31
12.600,103.551,45.18,318.33
12.650,103.583,45.21,318.36
12.700,103.616,45.23,318.38
12.750,103.611,45.25,318.40
12.800,103.583,45.27,318.42
12.850,103.611,45.29,318.44
12.900,103.600,45.31,318.46
12.950,103.594,45.34,318.49
13.000,103.616,45.36,318.51
13.050,103.616,45.39,318.54
13.100,103.605,45.41,318.56
13.150,103.616,45.44,318.59
13.200,103.583,45.46,318.61
13.250,103.598,45.48,318.63
13.300,103.605,45.51,318.66
13.350,103.611,45.53,318.68
13.400,103.590,45.55,318.70
13.450,103.587,45.58,318.73
13.500,103.620,45.61,318.76
13.550,103.603,45.64,318.79
13.600,103.598,45.67,318.82
13.650,103.596,45.69,318.84
13.700,103.598,45.72,318.87
13.750,103.592,45.74,318.89
13.800,103.596,45.76,318.91
13.850,103.596,45.79,318.94
13.900,103.596,45.82,318.97
13.950,103.598,45.84,318.99
14.000,103.574,45.87,319.02
14.050,103.596,45.89,319.04
14.100,103.603,45.92,319.07
14.150,103.646,45.94,319.09
14.200,103.596,45.97,319.12
14.250,103.609,45.99,319.14
14.300,103.614,46.02,319.17
14.350,103.629,46.03,319.18
14.400,103.642,46.06,319.21
14.450,103.633,46.08,319.23
14.500,103.585,46.10,319.25
14.550,103.622,46.11,319.26
14.600,103.616,46.13,319.28
14.650,103.661,46.15,319.30
14.700,103.648,46.17,319.32
14.750,103.618,46.18,319.33
14.800,103.642,46.20,319.35
14.850,103.640,46.22,319.37
14.900,103.637,46.24,319.39
14.950,103.663,46.26,319.41
15.000,103.663,46.28,319.43
15.050,103.663,46.30,319.45
15.100,103.627,46.32,319.47
15.150,103.702,46.34,319.49
15.200,103.661,46.37,319.52
15.250,103.670,46.40,319.55
15.300,103.670,46.43,319.58
15.350,103.681,46.45,319.60
15.400,103.707,46.47,319.62
15.450,103.689,46.49,319.64
15.500,103.687,46.51,319.66
15.550,103.698,46.53,319.68
15.600,103.655,46.55,319.70
15.650,103.683,46.57,319.72
15.700,103.676,46.59,319.74
15.750,103.681,46.61,319.76
15.800,103.683,46.63,319.78
15.850,103.681,46.65,319.80
15.900,103.674,46.67,319.82
15.950,103.657,46.69,319.84
16.000,103.681,46.71,319.86
16.050,103.683,46.73,319.88
16.100,103.687,46.75,319.90
16.150,103.735,46.77,319.92
16.200,103.663,46.79,319.94
16.250,103.711,46.81,319.96
16.300,103.681,46.83,319.98
16.350,103.702,46.85,320.00
16.400,103.687,46.87,320.02
16.450,103.698,46.88,320.03
16.500,103.715,46.91,320.06
16.550,103.722,46.92,320.07
16.600,103.728,46.94,320.09
16.650,103.702,46.96,320.11
16.700,103.720,46.97,320.12
16.750,103.728,46.99,320.14
16.800,103.726,47.01,320.16
16.850,103.768,47.02,320.17
16.900,103.748,47.03,320.18
16.950,103.748,47.05,320.20
17.000,103.733,47.06,320.21
17.050,103.752,47.08,320.23
17.100,103.739,47.09,320.24
17.150,103.737,47.11,320.26
17.200,103.765,47.12,320.27
17.250,103.785,47.14,320.29
17.300,103.746,47.16,320.31
